DATE,CPIAUCSL,PPIACO,PCE,INFLRATE,FEDFUNDS,UNRATE,GDP,M2SL,UMCSENT,Overall Wage Growth
1/1/2003,182.6,135.3,7541.3,1.76,1.24,5.8,11174.129,5804.6,82.4,3.7
2/1/2003,183.6,137.6,7548.6,1.91,1.26,5.9,11220.34133,5840.7,79.9,3.9
3/1/2003,183.9,141.2,7611.5,1.87,1.25,5.9,11266.55367,5861.4,77.6,3.7
4/1/2003,183.2,136.8,7634.5,1.78,1.26,6,11312.766,5898.8,86,3.5
5/1/2003,182.9,136.7,7650.3,1.66,1.26,6.1,11397.40033,5959.3,92.1,3.5
6/1/2003,183.1,138,7699.6,1.61,1.22,6.3,11482.03467,5996,89.7,3.6
7/1/2003,183.7,137.7,7757,1.87,1.01,6.2,11566.669,6042.7,90.9,3.7
8/1/2003,184.5,138,7852.1,2.13,1.03,6.1,11635.19067,6100.8,89.3,3.5
9/1/2003,185.1,138.5,7853.7,2.08,1.01,6.1,11703.71233,6072.8,87.7,3.5
10/1/2003,184.9,139.3,7867.4,2.21,1.01,6,11772.234,6063.6,89.6,3.4
11/1/2003,185,138.9,7922.6,2.34,1,5.8,11822.63833,6069.1,93.7,3.4
12/1/2003,185.5,139.5,7950.4,2.29,0.98,5.7,11873.04267,6067.3,92.6,3.3
1/1/2004,186.3,141.4,8007.1,2.26,1,5.7,11923.447,6075.5,103.8,3.3
2/1/2004,186.7,142.1,8040.4,2.32,1.01,5.6,11986.56967,6114.3,94.4,3.4
3/1/2004,187.1,143.1,8098.8,2.36,1,5.8,12049.69233,6150.1,95.8,3.4
4/1/2004,187.4,144.8,8107.2,2.45,1,5.6,12112.815,6191.2,94.2,3.4
5/1/2004,188.2,146.8,8176.5,2.63,1,5.6,12176.979,6268.1,90.2,3.4
6/1/2004,188.9,147.2,8157.6,2.58,1.03,5.6,12241.143,6270.5,95.6,3.3
7/1/2004,189.1,147.4,8236.9,2.48,1.26,5.5,12305.307,6284.3,96.7,3.4
8/1/2004,189.2,148,8271.6,2.42,1.43,5.4,12379.276,6310.6,95.9,3.5
9/1/2004,189.8,147.7,8341.5,2.33,1.61,5.4,12453.245,6345.3,94.2,3.7
10/1/2004,190.8,150,8397.1,2.37,1.76,5.5,12527.214,6373.3,91.7,3.7
11/1/2004,191.7,151.4,8444.5,2.51,1.93,5.4,12607.238,6399.8,92.8,3.7
12/1/2004,191.7,150.2,8504.4,2.56,2.16,5.4,12687.262,6418.3,97.1,3.5
1/1/2005,191.6,150.9,8497.7,2.5,2.28,5.3,12767.286,6424.5,95.5,3.6
2/1/2005,192.4,151.6,8559.1,2.54,2.5,5.4,12819.076,6432.8,94.1,3.5
3/1/2005,193.1,153.7,8598.4,2.71,2.63,5.2,12870.866,6441.9,92.6,3.6
4/1/2005,193.7,155,8678.4,2.63,2.79,5.2,12922.656,6455.9,87.7,3.5
5/1/2005,193.6,154.3,8671.6,2.49,3,5.1,12995.98467,6473.3,86.9,3.6
6/1/2005,193.7,154.3,8753.4,2.33,3.04,5,13069.31333,6505.8,96,3.8
7/1/2005,194.9,156.3,8853.8,2.3,3.26,5,13142.642,6537.4,96.5,4
8/1/2005,196.1,157.6,8850.1,2.37,3.5,4.9,13203.16267,6570.2,89.1,4
9/1/2005,198.8,162.2,8900.4,2.5,3.62,5,13263.68333,6604.3,76.9,4.1
10/1/2005,199.1,166.2,8938.5,2.52,3.78,5,13324.204,6638.6,74.2,4
11/1/2005,198.1,163.7,8946.2,2.48,4,5,13415.856,6655,81.6,4.2
12/1/2005,198.1,163,8981.1,2.35,4.16,4.9,13507.508,6681.9,91.5,4.1
1/1/2006,199.3,164.3,9071.6,2.41,4.29,4.7,13599.16,6724.3,91.2,4
2/1/2006,199.4,161.8,9096,2.52,4.49,4.8,13650.58133,6748.6,86.7,3.8
3/1/2006,199.7,162.2,9132.9,2.52,4.59,4.7,13702.00267,6762.9,88.9,3.8
4/1/2006,200.7,164.3,9191.6,2.58,4.79,4.7,13753.424,6800.1,87.4,3.8
5/1/2006,201.3,165.8,9231.8,2.66,4.94,4.6,13792.34533,6806.9,79.1,3.9
6/1/2006,201.8,166.1,9259.6,2.58,4.99,4.6,13831.26667,6844.9,84.9,3.8
7/1/2006,202.9,166.8,9343.8,2.58,5.24,4.7,13870.188,6886.3,84.7,3.7
8/1/2006,203.8,167.9,9342.2,2.59,5.25,4.7,13926.64533,6917.1,82,3.8
9/1/2006,202.8,165.4,9375.4,2.4,5.25,4.5,13983.10267,6944.2,85.4,3.8
10/1/2006,201.9,162.2,9393.6,2.32,5.25,4.4,14039.56,6993.3,93.6,3.8
11/1/2006,202,164.6,9400.2,2.31,5.25,4.5,14098.257,7028.4,92.1,3.9
12/1/2006,203.1,165.6,9488.3,2.31,5.24,4.4,14156.954,7071.6,91.7,4
1/1/2007,203.437,164,9538.7,2.32,5.25,4.6,14215.651,7109.6,96.9,4.2
2/1/2007,204.226,166.8,9566,2.36,5.26,4.5,14277.79467,7125.3,91.3,4.1
3/1/2007,205.288,169.3,9611.7,2.38,5.26,4.4,14339.93833,7159.1,88.4,4.3
4/1/2007,205.904,171.4,9643.6,2.43,5.25,4.5,14402.082,7231.3,87.1,4.1
5/1/2007,206.755,173.3,9685.8,2.38,5.25,4.4,14456.09367,7245.4,88.3,4.1
6/1/2007,207.234,173.8,9706.8,2.41,5.25,4.6,14510.10533,7278.6,85.3,4
7/1/2007,207.603,175.1,9751.1,2.36,5.26,4.7,14564.117,7309,90.4,4.2
8/1/2007,207.667,172.4,9798.9,2.23,5.02,4.6,14614.43067,7385.1,83.4,4.3
9/1/2007,208.547,173.5,9845.1,2.26,4.94,4.7,14664.74433,7403.2,83.4,4.4
10/1/2007,209.19,174.7,9882.7,2.33,4.76,4.7,14715.058,7417.2,80.9,4.3
11/1/2007,210.834,179,9955.9,2.38,4.49,4.7,14712.218,7441.8,76.1,4.3
12/1/2007,211.445,178.6,9972.8,2.31,4.24,5,14709.378,7471.6,75.5,4.1
1/1/2008,212.174,181,9996.4,2.27,3.94,5,14706.538,7505.5,78.4,3.9
2/1/2008,212.687,182.7,9981.7,2.33,2.98,4.9,14759.59233,7590.6,70.8,3.9
3/1/2008,213.448,187.9,10035.3,2.42,2.61,5.1,14812.64667,7656.2,69.5,4
4/1/2008,213.942,190.9,10070.3,2.32,2.28,5,14865.701,7699.2,62.6,4.1
5/1/2008,215.208,196.6,10132.3,2.42,1.98,5.4,14876.80033,7711.2,59.8,4.1
6/1/2008,217.463,200.5,10187.1,2.47,2,5.6,14887.89967,7728.9,56.4,4.1
7/1/2008,219.016,205.5,10185.1,2.44,2.01,5.8,14898.999,7775.4,61.2,4.1
8/1/2008,218.69,199,10175.7,2.21,2,6.1,14802.069,7790.2,63,4
9/1/2008,218.877,196.9,10116.4,1.84,1.81,6.1,14705.139,7859.5,70.3,4
10/1/2008,216.995,186.4,10034.1,1.06,0.97,6.5,14608.209,7965.3,57.6,4
11/1/2008,213.153,176.8,9885.2,0.64,0.39,6.8,14549.10667,8015.8,55.3,4
12/1/2008,211.398,170.9,9801.5,0.25,0.16,7.3,14490.00433,8192.1,60.1,3.8
1/1/2009,211.933,171.2,9847.2,0.61,0.15,7.8,14430.902,8273.7,61.2,3.7
2/1/2009,212.705,169.3,9824.5,1.12,0.22,8.3,14414.34667,8303.1,56.3,3.4
3/1/2009,212.495,168.1,9773.2,1.11,0.18,8.7,14397.79133,8369.3,57.3,3.3
4/1/2009,212.709,169.1,9772.5,1.36,0.15,9,14381.236,8372.9,65.1,3.2
5/1/2009,213.022,170.8,9791.6,1.57,0.18,9.4,14403.78467,8430.7,68.7,3.3
