DATE,CPIAUCSL,PPIACO,PCE
1960-01-01,29.37,31.6,323.6
1960-02-01,29.41,31.6,325.3
1960-03-01,29.41,31.8,330.2
1960-04-01,29.54,31.8,336.5
1960-05-01,29.57,31.7,330.0
1960-06-01,29.61,31.7,330.1
1960-07-01,29.55,31.7,331.4
1960-08-01,29.61,31.6,331.6
1960-09-01,29.61,31.6,333.4
1960-10-01,29.75,31.7,335.4
1960-11-01,29.78,31.7,335.4
1960-12-01,29.81,31.7,331.3
1961-01-01,29.84,31.8,332.2
1961-02-01,29.84,31.8,333.7
1961-03-01,29.84,31.8,337.7
1961-04-01,29.81,31.6,337.6
1961-05-01,29.84,31.5,339.9
1961-06-01,29.84,31.3,340.9
1961-07-01,29.92,31.5,340.6
1961-08-01,29.94,31.5,342.1
1961-09-01,29.98,31.5,344.4
1961-10-01,29.98,31.5,346.5
1961-11-01,29.98,31.5,349.9
1961-12-01,30.01,31.6,352.4
1962-01-01,30.04,31.7,353.2
1962-02-01,30.11,31.7,354.0
1962-03-01,30.17,31.7,357.4
1962-04-01,30.21,31.6,359.0
1962-05-01,30.24,31.5,362.0
1962-06-01,30.21,31.5,360.4
1962-07-01,30.22,31.6,361.4
1962-08-01,30.28,31.6,362.9
1962-09-01,30.42,31.9,368.8
1962-10-01,30.38,31.7,366.5
1962-11-01,30.38,31.7,371.7
1962-12-01,30.38,31.6,373.6
1963-01-01,30.44,31.6,374.4
1963-02-01,30.48,31.5,373.4
1963-03-01,30.51,31.5,375.0
1963-04-01,30.48,31.4,376.4
1963-05-01,30.51,31.5,377.2
1963-06-01,30.61,31.6,381.7
1963-07-01,30.69,31.7,384.4
1963-08-01,30.75,31.6,386.3
1963-09-01,30.72,31.6,385.5
1963-10-01,30.75,31.6,386.0
1963-11-01,30.78,31.7,389.4
1963-12-01,30.88,31.6,394.7
1964-01-01,30.94,31.8,396.8
1964-02-01,30.91,31.6,400.2
1964-03-01,30.94,31.6,401.8
1964-04-01,30.95,31.6,402.8
1964-05-01,30.98,31.5,408.4
1964-06-01,31.01,31.5,411.4
1964-07-01,31.02,31.6,414.9
1964-08-01,31.05,31.6,417.7
1964-09-01,31.08,31.7,416.6
1964-10-01,31.12,31.7,419.6
1964-11-01,31.21,31.7,416.4
1964-12-01,31.25,31.7,421.0
1965-01-01,31.28,31.8,424.4
1965-02-01,31.28,31.9,431.4
